map	col1	col2	avgrr
1	0	50000	3.36
1	150000	200000	3.9
1	300000	350000	4.49
1	550000	600000	5.175000000000001
1	600000	650000	5.41
1	650000	700000	5.48
1	700000	750000	5.71
1	900000	950000	6.18
1	1150000	1200000	6.77
1	1550000	1600000	6.01
1	1850000	1900000	5.89
1	1950000	2000000	5.99
1	2000000	2049999	6.07
1	2150000	2200000	6.37
1	2200000	2250000	6.56
1	2450000	2500000	7.09
1	2600000	2650000	7.43
1	2700000	2750000	7.573333333333333
1	2750000	2800000	7.695
1	2800000	2850000	7.81
1	2850000	2900000	7.84
1	2900000	2950000	7.94
1	3000000	3050000	8.135000000000002
1	3050000	3100000	8.33
1	3250000	3300000	8.717500000000001
1	3300000	3350000	8.78
1	3350000	3400000	8.87
1	3400000	3450000	8.89
1	3500000	3550000	9.07
1	3550000	3600000	9.15
1	3600000	3650000	9.2
1	3800000	3850000	9.13
1	3850000	3900000	9.07
1	4050000	4099999	8.51
1	4150000	4200000	8.166666666666666
1	4200000	4250000	8.07
1	4250000	4300000	7.94
1	4300000	4350000	7.78
1	4400000	4450000	7.35
1	4450000	4500000	7.1
1	4550000	4600000	6.77
1	4600000	4650000	6.69
1	4650000	4700000	6.45
1	4700000	4750000	6.28
1	4750000	4800000	6.23
1	4800000	4850000	6.036666666666667
1	4850000	4900000	5.895
1	4950000	5000000	5.59
1	5000000	5050000	5.48
1	5200000	5250000	5.01
1	5300000	5350000	4.92
1	5400000	5450000	4.84
1	5550000	5600000	4.615
1	5650000	5700000	4.51
1	5800000	5850000	4.29
1	5850000	5900000	4.245
1	5900000	5950000	4.14
1	6100000	6150000	3.81
1	6150000	6200000	3.74
1	6300000	6350000	3.59
1	6400000	6450000	3.71
1	6500000	6550000	3.85
1	6550000	6600000	3.95
1	6650000	6700000	4.24
1	6750000	6800000	4.6033333333333335
1	6850000	6900000	4.96
1	6900000	6950000	5.0275
1	6950000	7000000	5.205
1	7000000	7050000	5.273333333333333
1	7100000	7150000	5.42
1	7150000	7200000	5.44
1	7200000	7250000	5.426666666666667
1	7250000	7300000	5.34
1	7300000	7350000	5.26
1	7350000	7400000	5.19
1	7400000	7450000	5.15
1	7600000	7650000	4.975
1	7900000	7950000	4.93
1	7950000	8000000	4.975
1	8000000	8050000	5.029999999999999
1	8050000	8100000	5.140000000000001
1	8100000	8150000	5.276666666666666
1	8150000	8199999	5.390000000000001
1	8199999	8250000	5.47
1	8250000	8300000	5.66
1	8300000	8350000	5.9
1	8400000	8450000	6.085
1	8450000	8500000	6.21
1	8600000	8650000	6.465
1	8650000	8700000	6.5
1	8700000	8750000	6.463333333333333
1	8800000	8850000	6.3
1	8950000	9000000	5.91
1	9000000	9050000	5.8950000000000005
1	9050000	9100000	5.85
1	9100000	9150000	5.76
1	9200000	9250000	5.765
1	9300000	9350000	6
1	9400000	9450000	6.25
1	9450000	9500000	6.37
1	9500000	9550000	6.43
1	9550000	9600000	6.62
1	9600000	9650000	6.76
1	9650000	9700000	6.84
1	9700000	9750000	7.05
1	9750000	9800000	7.275
1	9800000	9850000	7.44
