map	col1	col2	avgrr
1	0	50000	2.49
1	50000	100000	2.7
1	100000	150000	2.9
1	200000	250000	3.25
1	250000	300000	3.4
1	300000	350000	3.505
1	350000	400000	3.67
1	400000	450000	3.785
1	450000	500000	3.84
1	550000	600000	3.885
1	650000	700000	3.93
1	700000	750000	3.96
1	750000	800000	4.01
1	800000	850000	4.1
1	950000	1000000	4.415
1	1050000	1100000	4.609999999999999
1	1100000	1150000	4.715
1	1150000	1200000	4.77
1	1200000	1250000	4.84
1	1250000	1300000	4.8566666666666665
1	1300000	1350000	4.88
1	1350000	1400000	4.9
1	1400000	1450000	4.9
1	1450000	1500000	4.885
1	1500000	1550000	4.866666666666667
1	1600000	1650000	4.76
1	1650000	1700000	4.67
1	1700000	1750000	4.53
1	1750000	1800000	4.4
1	1800000	1850000	4.2725
1	1850000	1900000	4.12
1	1900000	1950000	4.01
1	1950000	2000000	3.88
1	2000000	2049999	3.763333333333333
1	2049999	2100000	3.52
1	2100000	2150000	3.2933333333333334
1	2150000	2200000	3.1866666666666665
1	2200000	2250000	3.11
1	2250000	2300000	2.95
1	2300000	2350000	2.89
1	2350000	2400000	2.87
1	2400000	2450000	2.865
1	2450000	2500000	2.875
1	2500000	2550000	2.9
1	2550000	2600000	3.06
1	2650000	2700000	3.1950000000000003
1	2700000	2750000	3.265
1	2850000	2900000	3.34
1	2900000	2950000	3.32
1	2950000	3000000	3.315
1	3000000	3050000	3.2925
1	3050000	3100000	3.26
1	3100000	3150000	3.26
1	3200000	3250000	3.3133333333333335
1	3250000	3300000	3.3449999999999998
1	3300000	3350000	3.3775
1	3350000	3400000	3.415
1	3400000	3450000	3.5533333333333332
1	3450000	3500000	3.62
1	3600000	3650000	3.8850000000000002
1	3650000	3700000	3.935
1	3700000	3750000	4.07
1	3850000	3900000	4.305
1	3900000	3950000	4.36
1	3950000	4000000	4.43
1	4000000	4050000	4.484999999999999
1	4050000	4099999	4.5575
1	4099999	4150000	4.654
1	4150000	4200000	4.723333333333334
1	4200000	4250000	4.785
1	4250000	4300000	4.81
1	4300000	4350000	4.81
1	4350000	4400000	4.75
1	4400000	4450000	4.7
1	4500000	4550000	4.73
1	4550000	4600000	4.824999999999999
1	4600000	4650000	4.95
1	4650000	4700000	5.05
1	4700000	4750000	5.183333333333334
1	4750000	4800000	5.3
1	4800000	4850000	5.59
1	4850000	4900000	5.8
1	4900000	4950000	5.9425
1	4950000	5000000	6.15
1	5000000	5050000	6.355
1	5050000	5100000	6.59
1	5250000	5300000	7.075
1	5400000	5450000	7.18
1	5450000	5500000	7.234999999999999
1	5500000	5550000	7.2924999999999995
1	5550000	5600000	7.475
1	5600000	5650000	7.565714285714286
1	5650000	5700000	7.765
1	5700000	5750000	7.8825
1	5750000	5800000	8.05
1	5850000	5900000	8.52
1	5900000	5950000	8.6
1	6000000	6050000	8.96
1	6050000	6100000	9.08
1	6100000	6150000	9.333333333333334
1	6150000	6200000	9.51
1	6200000	6250000	9.625
1	6300000	6350000	9.99
1	6400000	6450000	10.442
1	6450000	6500000	10.59
1	6600000	6650000	10.87
1	6650000	6700000	10.881428571428572
1	6700000	6750000	10.89
1	6750000	6800000	10.87
1	6800000	6850000	10.74
1	6850000	6900000	10.635
1	6900000	6950000	10.56
1	6950000	7000000	10.47
1	7000000	7050000	10.405714285714286
1	7050000	7100000	10.315
1	7100000	7150000	10.245000000000001
1	7150000	7200000	10.18
1	7200000	7250000	10.105
1	7250000	7300000	10.08
1	7300000	7350000	10.086666666666666
1	13750000	13800000	0
1	13850000	13900000	0
1	13950000	14000000	0.05
1	14050000	14100000	0.47
1	14100000	14150000	0.55
1	14200000	14250000	1.08
1	14250000	14300000	1.51
1	14300000	14350000	1.68
1	14350000	14400000	2.11
1	14450000	14500000	2.755
1	14500000	14550000	3.4
1	14600000	14650000	4.69
1	14650000	14700000	4.81
1	14700000	14750000	5.79
1	14750000	14800000	6.2524999999999995
1	14800000	14850000	6.59
1	14850000	14900000	7.4725
1	14900000	14950000	7.77
1	15050000	15100000	9.44
1	15100000	15150000	10.03
1	15350000	15400000	11.95
1	15400000	15450000	12.69
1	15450000	15500000	12.98
1	15500000	15550000	13.645
1	15550000	15600000	14.07
1	15600000	15650000	14.66
1	15650000	15700000	14.82
1	15700000	15750000	15.396666666666667
1	15750000	15800000	16.01
1	15800000	15850000	16.36
1	15850000	15900000	16.672
1	15900000	15950000	16.98
1	16000000	16050000	17.67
1	16050000	16100000	17.985
1	16100000	16149999	18.2175
1	16149999	16200000	18.51
1	16200000	16250000	18.7
1	16250000	16300000	18.855
1	16399999	16450000	19.057499999999997
1	16450000	16500000	19.026666666666667
1	16500000	16550000	18.95
1	16550000	16600000	18.72
1	16600000	16649999	18.61
1	16850000	16900000	17.115000000000002
1	16950000	17000000	16.095
1	17050000	17100000	15.08
1	17150000	17200000	14.18
1	17250000	17300000	13.55
1	17350000	17400000	12.72
1	17600000	17650000	10.11
1	17650000	17700000	9.42
1	17850000	17900000	7.59
2	100000	150000	3.21
2	300000	350000	4.115
2	350000	400000	4.199999999999999
2	500000	550000	4.82
2	550000	600000	5.05
2	600000	650000	5.25
2	750000	800000	5.81
2	800000	850000	5.87
2	850000	900000	6.065
2	900000	950000	6.11
2	1050000	1100000	6.47
2	1150000	1200000	6.68
2	1300000	1350000	6.4366666666666665
2	1350000	1400000	6.33
2	1450000	1500000	6.105
2	1500000	1550000	5.943333333333333
2	1550000	1600000	5.768
2	1650000	1700000	5.415
2	1750000	1800000	5.154999999999999
2	1800000	1850000	5
2	1900000	1950000	4.83
2	1950000	2000000	4.78
2	2049999	2100000	4.71
2	2400000	2450000	4.845000000000001
2	2500000	2550000	4.85
2	2700000	2750000	4.62
2	2950000	3000000	4.588333333333333
2	3000000	3050000	4.795
2	3050000	3100000	4.95
2	3100000	3150000	5.3
2	3150000	3200000	5.4675
2	3200000	3250000	5.71
2	3300000	3350000	6.39
2	3350000	3400000	6.49
2	3400000	3450000	6.7875
2	3450000	3500000	6.88
2	3500000	3550000	7.1775
2	3550000	3600000	7.53
2	3650000	3700000	7.9350000000000005
2	3800000	3850000	8.74
2	3850000	3900000	8.86
2	3950000	4000000	9.14
2	4000000	4050000	9.23
2	4050000	4099999	9.215
2	4099999	4150000	9.135000000000002
2	4150000	4200000	9.11
2	4200000	4250000	9.114999999999998
2	4300000	4350000	9.14
2	4350000	4400000	9.29
2	4450000	4500000	9.8
2	4500000	4550000	10.04
2	4550000	4600000	10.23
2	4600000	4650000	10.71
2	4650000	4700000	10.906666666666666
2	4700000	4750000	11.315714285714286
2	4800000	4850000	12.120000000000001
2	4850000	4900000	12.305
2	4900000	4950000	12.513333333333334
2	4950000	5000000	12.706666666666667
2	5000000	5050000	12.733333333333334
2	5050000	5100000	12.79
2	5100000	5150000	12.94
2	5150000	5200000	13.04
2	5200000	5250000	13.125
2	5300000	5350000	13.530000000000001
2	5350000	5400000	13.844999999999999
2	5450000	5500000	14.315
2	5500000	5550000	14.55
2	5550000	5600000	14.75
2	5600000	5650000	14.89
2	5650000	5700000	15.055
2	5700000	5750000	15.08
2	5800000	5850000	14.956666666666667
2	5900000	5950000	14.7
2	5950000	6000000	14.54
2	6000000	6050000	14.35
2	6050000	6100000	14.3275
2	6100000	6150000	14.31
