map	col1	col2	avgrr
1	0	50000	5.3
1	300000	350000	8.05
1	500000	550000	9.35
1	550000	600000	9.6
1	800000	850000	11.12
1	1500000	1550000	12.43
1	1600000	1650000	11.24
1	1800000	1850000	9.87
1	1950000	2000000	9.03
1	2000000	2049999	8.87
1	2100000	2150000	8.61
1	2200000	2250000	8.355
1	2250000	2300000	8.11
1	2300000	2350000	7.96
1	2600000	2650000	6.7
1	2650000	2700000	6.49
1	2750000	2800000	6.32
1	2800000	2850000	6.31
1	2850000	2900000	6.325
1	2900000	2950000	6.37
1	3000000	3050000	6.4
1	3100000	3150000	6.53
1	3150000	3200000	6.65
1	3250000	3300000	6.69
1	3350000	3400000	6.74
1	3400000	3450000	6.77
1	3450000	3500000	6.78
1	3500000	3550000	6.78
1	3550000	3600000	6.77
1	3600000	3650000	6.74
1	3650000	3700000	6.67
1	3700000	3750000	6.56
1	3800000	3850000	6.33
1	3850000	3900000	6.2
1	4000000	4050000	5.69
1	4050000	4099999	5.54
1	4099999	4150000	5.36
1	4150000	4200000	5.26
1	4200000	4250000	5.23
1	4250000	4300000	5.23
1	4350000	4400000	5.31
1	4400000	4450000	5.37
1	4450000	4500000	5.46
1	4650000	4700000	5.89
1	4700000	4750000	5.97
1	4800000	4850000	5.9399999999999995
1	4850000	4900000	5.87
1	4900000	4950000	5.75
1	5000000	5050000	5.64
1	5050000	5100000	5.58
1	5100000	5150000	5.5
1	5200000	5250000	5.36
1	5350000	5400000	5.14
1	5400000	5450000	5.13
1	5450000	5500000	5.16
1	5550000	5600000	5.405
1	5750000	5800000	5.82
1	5800000	5850000	5.97
1	5950000	6000000	6.09
1	6150000	6200000	6.085
1	6250000	6300000	5.94
1	6450000	6500000	5.44
1	6600000	6650000	5.14
1	6650000	6700000	5.02
1	6700000	6750000	4.95
1	6750000	6800000	4.94
1	6800000	6850000	4.96
1	6850000	6900000	4.99
1	6950000	7000000	5.15
1	7000000	7050000	5.25
1	7100000	7150000	5.37
1	7200000	7250000	5.43
1	7250000	7300000	5.52
1	7300000	7350000	5.58
1	7450000	7500000	5.68
1	7500000	7550000	5.65
1	7550000	7600000	5.6
1	7600000	7650000	5.58
1	7650000	7700000	5.54
1	7700000	7750000	5.54
1	7750000	7800000	5.545
1	7800000	7850000	5.53
1	7950000	8000000	5.61
1	8050000	8100000	5.615
1	8100000	8150000	5.62
1	8199999	8250000	5.66
1	8250000	8300000	5.67
1	8300000	8350000	5.69
1	8350000	8400000	5.67
1	8450000	8500000	5.67
1	8500000	8550000	5.66
1	8600000	8650000	5.61
1	8650000	8700000	5.54
1	8700000	8750000	5.48
1	8750000	8800000	5.42
1	8850000	8900000	5.285
1	8950000	9000000	5.165
1	9000000	9050000	5.07
1	9050000	9100000	5.06
1	9100000	9150000	5.07
1	9200000	9250000	5.14
1	9300000	9350000	5.31
1	9350000	9400000	5.43
1	9450000	9500000	5.71
1	9550000	9600000	6.02
1	9600000	9650000	6.23
1	9700000	9750000	6.54
1	9750000	9800000	6.84
1	9850000	9900000	7.025
1	9900000	9950000	7.07
1	10100000	10150000	7.289999999999999
1	10250000	10300000	7.42
1	10300000	10350000	7.48
1	10350000	10400000	7.53
1	10400000	10450000	7.56
1	10450000	10500000	7.62
1	10550000	10600000	7.68
1	10700000	10750000	7.86
1	10800000	10850000	7.93
1	10850000	10900000	7.99
1	10900000	10950000	8.13
1	11050000	11100000	8.34
1	11150000	11200000	8.47
1	11200000	11250000	8.54
1	11250000	11300000	8.63
1	11300000	11350000	8.66
1	11350000	11400000	8.7
1	11400000	11450000	8.745000000000001
1	11500000	11550000	8.78
1	11550000	11600000	8.77
1	11650000	11700000	8.66
1	11750000	11800000	8.75
1	11800000	11850000	8.89
1	11850000	11900000	9.09
1	12100000	12150000	10.42
1	12300000	12350000	11.69
1	12350000	12400000	12.07
1	12450000	12500000	12.97
1	12500000	12550000	13.25
1	12550000	12600000	13.5
1	12750000	12800000	14.89
1	12800000	12850000	15.205
1	12900000	12950000	15.46
1	13000000	13050000	15.62
1	13050000	13100000	15.66
1	13100000	13150000	15.66
1	13600000	13650000	15.35
1	13900000	13950000	13.71
1	14350000	14400000	11.3
1	14450000	14500000	11.06
1	14500000	14550000	10.84
1	14650000	14700000	10.49
1	14750000	14800000	10.29
1	15100000	15150000	10.95
1	15450000	15500000	12.17
1	15600000	15650000	12.72
