chr	window	dist_mean	r2_ExpG_mean	D_mean	Dprime_mean	r2_mean	dist_min	r2_ExpG_min	D_min	Dprime_min	r2_min	dist_max	r2_ExpG_max	D_max	Dprime_max	r2_max
Mme_chr01	(0,5e+04]	22445.49560632689	0.029274797891036906	0.007468553602811951	0.7888249964850615	0.12003871528998243	18	0	-0.213877	0.002707	4e-6	49651	0.471369	0.195181	1	0.998947
Mme_chr01	(5e+04,1e+05]	23105.975895765474	0.027063048859934852	0.005603828013029316	0.7639373719869706	0.10726308859934854	10	0	-0.1863	0.002837	4e-6	50000	0.511464	0.210174	1	0.999108
Mme_chr01	(1e+05,1.5e+05]	25612.30909090909	0.02607524	0.004102061818181818	0.7638406527272728	0.09455837454545454	14	1e-6	-0.16056	0.001588	2e-6	49990	0.266634	0.171279	1	0.999642
Mme_chr01	(1.5e+05,2e+05]	19526.228260869564	0.026254787549407115	0.0038048117588932806	0.7694563389328063	0.10503726704545455	8	0	-0.198837	0.001233	0	49956	0.554199	0.246553	1	0.999653
Mme_chr01	(2e+05,2.5e+05]	27659.974345685412	0.025982473956983675	0.007260963721171288	0.7839929227779218	0.10583817258357087	10	0	-0.22711	5.91e-4	0	49977	0.363375	0.196178	1	0.999388
Mme_chr01	(2.5e+05,3e+05]	21529.40197461213	0.0258645514809591	0.0026957362482369534	0.7623279294781382	0.09484482087447109	32	0	-0.148046	0.0052	8e-6	49952	0.340764	0.180093	1	0.999442
Mme_chr01	(3e+05,3.5e+05]	22448.874481941977	0.024452071343990526	0.005595925991711072	0.7884973886915334	0.09901064357608053	7	0	-0.213779	1e-5	0	49963	0.460954	0.189875	1	0.999866
Mme_chr01	(3.5e+05,4e+05]	26972.784870466323	0.02611759440414508	0.005505418652849741	0.7333689144041451	0.11022371502590673	12	0	-0.247939	0.001112	0	49921	0.599822	0.224792	1	0.999532
Mme_chr01	(4e+05,4.5e+05]	17662.474692442884	0.025575177152899826	0.005504941476274165	0.7616144400702988	0.10717479824253076	8	0	-0.224187	5.07e-4	0	49984	0.375745	0.237215	1	0.999069
Mme_chr01	(4.5e+05,5e+05]	20891.43852728468	0.026575252465483236	0.005643074950690335	0.7292216951566951	0.10950870260793338	4	0	-0.223959	0.001863	1e-6	50000	0.999069	0.249286	1	0.999573
