scaffold	start	end	dxy
Mme_chr01	10000001	10050000	0.013708411132259601
Mme_chr01	1000001	1050000	0.027253771753710677
Mme_chr01	100001	150000	0.02352027552234793
Mme_chr01	10050001	10100000	0.019220882866299603
Mme_chr01	10100001	10150000	0.011625227069252321
Mme_chr01	10150001	10200000	0.010341734775908749
Mme_chr01	10200001	10250000	0.011016409182737488
Mme_chr01	10250001	10300000	0.017069488137454496
Mme_chr01	10300001	10350000	0.015611992866226762
Mme_chr01	10350001	10400000	0.014056593209701715
Mme_chr01	10400001	10450000	0.013823538276248076
Mme_chr01	10450001	10500000	0.01843892753544473
Mme_chr01	10500001	10550000	0.014342409811799595
Mme_chr01	1050001	1100000	0.025521877132155788
Mme_chr01	10550001	10600000	0.015395376660835692
Mme_chr01	10600001	10650000	0.015673365382155267
Mme_chr01	10650001	10700000	0.01076454801338024
Mme_chr01	10700001	10750000	0.011905072677341576
Mme_chr01	10750001	10800000	0.01544206111201007
Mme_chr01	10800001	10850000	0.012201923986621408
Mme_chr01	10850001	10900000	0.011777513525063253
Mme_chr01	10900001	10950000	0.0114216217619223
Mme_chr01	10950001	11000000	0.015002041771332254
Mme_chr01	11000001	11050000	0.0116619031872277
Mme_chr01	1100001	1150000	0.026592164761188784
Mme_chr01	11050001	11100000	0.01306731131108037
Mme_chr01	11100001	11150000	0.014484783962787764
Mme_chr01	11150001	11200000	0.01575717597151188
Mme_chr01	11200001	11250000	0.020173258699225673
Mme_chr01	11250001	11300000	0.015383834792412494
Mme_chr01	11300001	11350000	0.015742807416588074
Mme_chr01	11350001	11400000	0.0176019822206805
Mme_chr01	11400001	11450000	0.015078519526705423
Mme_chr01	11450001	11500000	0.012015328301237114
Mme_chr01	11500001	11550000	0.009560214220704058
Mme_chr01	1150001	1200000	0.02279845004508947
Mme_chr01	11550001	11600000	0.013344915330518412
Mme_chr01	11600001	11650000	0.011237620335176236
Mme_chr01	11650001	11700000	0.010570947291530219
Mme_chr01	11700001	11750000	0.01082211617751432
Mme_chr01	11750001	11800000	0.014844302010186845
Mme_chr01	11800001	11850000	0.016646950960834187
Mme_chr01	11850001	11900000	0.014356860144885008
Mme_chr01	11900001	11950000	0.012960998703803014
Mme_chr01	11950001	12000000	0.01563827032301823
Mme_chr01	12000001	12050000	0.012633999703277166
Mme_chr01	1200001	1250000	0.027640164974513336
Mme_chr01	12050001	12100000	0.01624873682485749
Mme_chr01	12100001	12150000	0.015589951833620053
Mme_chr01	12150001	12200000	0.018987655784691755
Mme_chr01	12200001	12250000	0.010971428541342565
Mme_chr01	12250001	12300000	0.017035158356067524
Mme_chr01	12300001	12350000	0.018665889919689406
Mme_chr01	12350001	12400000	0.014335482719636541
Mme_chr01	12400001	12450000	0.016738813614737967
Mme_chr01	12450001	12500000	0.014939927949021008
Mme_chr01	12500001	12550000	0.018337332341548978
Mme_chr01	1250001	1300000	0.026183343384763955
Mme_chr01	12550001	12600000	0.01740054031548183
Mme_chr01	12600001	12650000	0.015487395768877223
Mme_chr01	12650001	12700000	0.016978857800916673
Mme_chr01	12700001	12750000	0.017491795543611934
Mme_chr01	12750001	12800000	0.016663589379274743
