population	PC1	PC2	PC3	PC4	PC5	chr	start	end
JekyllIs_1035	-0.993332266378207	-0.0657802828398635	-0.141278866211128	-0.267051809611375	0.646406768146667	04	12176292	14136194
JekyllIs_1034	-0.914160121927135	-0.0287913149328416	-0.159594402126884	-0.29721393385857	0.683365729170582	04	12176292	14136194
JekyllIs_1057	-0.977494279855914	-0.0737783069451732	-0.158480005841288	-0.276411477680652	0.663045271490613	04	12176292	14136194
JekyllIs_1063	-0.960987657559779	-0.118794446166711	-0.197868605053317	-0.233117197650582	0.624010036379955	04	12176292	14136194
JekyllIs_1222	-0.950845950547031	-0.0393205407534361	-0.122587909178199	-0.225719755713492	0.541905110651012	04	12176292	14136194
JekyllIs_1072	-0.913513975567565	0.00445658147257766	-0.0805476133723376	-0.467027124927897	0.565044083856184	04	12176292	14136194
JekyllIs_1076	-0.96691680808088	-0.0938023909768293	-0.239387219725727	-0.323939539269822	0.661363754113673	04	12176292	14136194
JekyllIs_1074	-0.970408184323279	-0.0534649623890782	-0.140390189534051	-0.210369881277679	0.62009964012738	04	12176292	14136194
JekyllIs_1042	-0.940807032298689	-0.0658298754495062	-0.189602745492464	-0.392569759322434	0.571636992541212	04	12176292	14136194
JekyllIs_1036	-0.960540042082576	-0.0324905878565817	-0.162078180027212	-0.357772196351981	0.595364899889107	04	12176292	14136194
JekyllIs_1077	-0.973235094760368	-0.0572460690007929	-0.160107348175089	-0.411813796694397	0.641840355362689	04	12176292	14136194
JekyllIs_1051	-0.958868657771956	-0.0507474322111521	-0.218031987439805	-0.27173202579956	0.677221334351051	04	12176292	14136194
JekyllIs_1043	-0.962127527023506	-0.0980415150444391	-0.18830605957471	-0.421394188322146	0.596256229658435	04	12176292	14136194
JekyllIs_1221	-0.922004834828645	-0.0781080040489547	-0.154078173198657	-0.313281778254332	0.664822999771356	04	12176292	14136194
JekyllIs_1047	-0.955380090988019	-0.102933648768035	-0.179496113932084	-0.185412677710496	0.623152100573716	04	12176292	14136194
JekyllIs_1054	-0.924577526729934	-0.00388817702485011	-0.0655889763386794	-0.342256650167955	0.716339005922637	04	12176292	14136194
JekyllIs_1052	-0.96782166739557	-0.0532912085460674	-0.113953995210477	-0.451799947134195	0.653356573706995	04	12176292	14136194
JekyllIs_1033	-0.928249813853906	-0.0209530178849086	-0.18726331572731	-0.131774945142663	0.606874936913572	04	12176292	14136194
JekyllIs_1060	-0.919370769833386	-0.0068960733875939	-0.124869717814051	-0.440460946432999	0.501105287167801	04	12176292	14136194
JekyllIs_1066	-0.934981303097476	-0.0650784874982719	-0.249232656655237	-0.512306117124824	0.61212718306212	04	12176292	14136194
JekyllIs_1075	-0.965628773964056	-0.050597847870216	-0.132773299812246	-0.380324233561182	0.563148427405059	04	12176292	14136194
JekyllIs_1058	-0.990171125703768	-0.0431523859758689	-0.243756188603442	-0.371332352679132	0.627124457090664	04	12176292	14136194
JekyllIs_1048	-0.937814471357339	-0.0258128996410445	-0.174918353855093	-0.474172156591813	0.736235092387672	04	12176292	14136194
