chromosome	col1	col2	afdGANY	afdNYNS	afdNSQU	fstNSQU	fstNYNS	fstGANY	MAQU_pi2	MBNS_pi2	PANY_pi2	JIGA_pi2	LDmaqu	LDmbns	LDpany	LDjiga	GANYdxy	NYNSdxy	NSQUdxy	tajJIGA	tajPANY	tajMBNS	tajMAQU	avgrr	avgrrNY	avgrrF1	gc	exond	in_telo	in_centro	in_inv	midpoint	regions	group
1	0	50000	0.0337040909090909	0.07959577922077922	0.08217783116883118	0.09361693598643048	0.06338771549298346	0.00993573424587812	NA	NA	NA	NA	0.08392660240963855	0.12003871528998245	0.11281179103448276	0.09978306821705428	0.02649539308478342	0.02760795960255493	0.0261210086112126	NA	NA	NA	NA	3.36	5.3	2.49	0.37622	0	telomere	no	no	25000	telomere	telomere
1	50000	100000	0.04451786842105263	0.06030107236842105	0.0748396052631579	0.11776153959632914	0.04521503851119318	0.01244913781088363	0.02093055774929487	0.02297920340741732	0.0242746326700099	0.02460891696394445	0.12219784015345268	0.10726308859934854	0.09493413029218845	0.10581189772727272	0.02611461106097803	0.02578187995306829	0.02559671687710885	-0.468923	-0.425452	0.863361	1.350119	NA	NA	2.7	0.3704	0	telomere	no	no	75000	telomere	telomere
1	100000	150000	0.04083189344262295	0.0614585737704918	0.06794777049180328	0.08389235546834731	0.05065397630293267	0.01096193067714174	0.0171089395322573	0.0193196552957599	0.02158580477432296	0.02147953448928917	0.12004123529411764	0.09455837454545454	0.09582367578772805	0.10937740878378378	0.02439122016876253	0.02352027552234793	0.02307934113709208	-0.565127	-0.491064	0.77012100000000006	1.310773	NA	NA	2.9	0.37536	0	telomere	no	no	125000	telomere	telomere
1	150000	200000	0.05132202631578948	0.07337297744360903	0.08926869172932331	0.1002152779557922	0.04813726575720539	0.01424901385641167	0.01892578916446907	0.02132812790007909	0.02369541617908929	0.02324512279970502	0.10946605047318612	0.10503726704545456	0.0944873013515322	0.1032108845116028	0.02497592290087482	0.02473984753347256	0.02362664332661157	-0.544839	-0.460215	0.795779	1.24417	3.9	NA	NA	0.37326	0	telomere	no	no	175000	telomere	telomere
1	200000	250000	0.04283930541871921	0.06557285714285714	0.07192741379310345	0.07673407140681154	0.04688358302386848	0.01299896273031986	0.02070378348156622	0.02101340176055113	0.02351132377431388	0.02337088763816369	0.0963975903555772	0.10583817258357088	0.0877646685998343	0.09678268109841652	0.02499487139925585	0.02486450588521288	0.02446819847800191	-0.558364	-0.486486	0.735852	1.123579	NA	NA	3.25	0.38046	0	telomere	no	no	225000	telomere	telomere
1	250000	300000	0.04963235789473684	0.06106353684210527	0.06884034736842105	0.07214139556408597	0.04436471245251708	0.0144009435539388	0.01733893082628125	0.0175546525033948	0.02040700209544988	0.01991071251885369	0.09655967836257308	0.09484482087447108	0.09799041979102643	0.09961358348794062	0.02143011887307516	0.02107006238655641	0.0202774507570387	-0.588181	-0.49115	0.710714	1.175011	NA	NA	3.4	0.3935	0.0494	telomere	no	no	275000	telomere	telomere
1	300000	350000	0.05038684705882353	0.0667460431372549	0.08959105882352941	0.0915155477981459	0.04781905459300598	0.01463521050205392	0.01836807704093659	0.01981995031376598	0.0207872303867019	0.02109548046191097	0.11241492266508032	0.09901064357608053	0.09029576899284748	0.0929931947821682	0.02218248503657878	0.0218277528994135	0.02226621151973792	-0.67897	-0.576061	0.619769	1.155669	4.49	8.05	3.505	0.38662	0	telomere	no	no	325000	telomere	telomere
1	350000	400000	0.04410485798816568	0.06671253846153846	0.09570498224852073	0.10059756064865732	0.04761402909313111	0.01316084601654436	0.02049030001990842	0.02160368873780668	0.02429599632272056	0.02375152419151086	0.12090372322158628	0.11022371502590672	0.0963095640178004	0.1004837857869742	0.02466858640746503	0.02482480983470008	0.02512651137334559	-0.546738	-0.424536	0.904468	1.278529	NA	NA	3.67	0.36686	0	telomere	no	no	375000	telomere	telomere
1	400000	450000	0.04396212972972973	0.06320694324324325	0.09011907297297296	0.12575437671259013	0.0515564646218953	0.01263825422683668	0.0215338019901465	0.02267436323225908	0.02428842954663727	0.02447838691166786	0.11081014719190845	0.10717479824253076	0.09442891832253816	0.09803665739923507	0.0248255667092289	0.02490366907188936	0.02548693862609071	-0.579124	-0.534382	0.722664	1.011713	NA	NA	3.785	0.36112	0	telomere	no	no	425000	telomere	telomere
1	450000	500000	0.0448	0.07283711355311355	0.0764581684981685	0.09157476965625017	0.05810512554049214	0.0135132747905189	0.02073772294796429	0.02164784774590897	0.02395178977814074	0.02371251845730027	0.11529438349650348	0.10950870260793338	0.08852797681489928	0.09725238056059128	0.02505781456174445	0.02532890770979818	0.02456402220389677	-0.580102	-0.550042	0.714191	1.200657	NA	NA	3.84	0.36426	0	telomere	no	no	475000	telomere	telomere
