chr	col1	col2	reps	size	at_per
1	0	50000	78	22.371794871794872	60.61538461538461
1	50000	100000	57	29.57894736842105	68.75438596491227
1	100000	150000	34	12.235294117647058	67
1	150000	200000	60	26.633333333333333	65.78333333333333
1	200000	250000	55	27.69090909090909	62.81818181818182
1	250000	300000	56	20.75	67.69642857142857
1	300000	350000	60	19.233333333333334	58.833333333333336
1	350000	400000	44	26.40909090909091	68.25
1	400000	450000	46	25.47826086956522	73.5
1	450000	500000	37	16.62162162162162	65.89189189189189
1	500000	550000	17	64.70588235294117	69.17647058823529
1	550000	600000	34	28.029411764705884	67.8529411764706
1	600000	650000	21	13.428571428571429	60.95238095238095
1	650000	700000	15	19.4	73.2
1	700000	750000	24	16.291666666666668	67.125
1	750000	800000	30	13.033333333333333	65.16666666666667
1	800000	850000	23	24.130434782608695	65.52173913043478
1	850000	900000	16	9.4375	61.625
1	900000	950000	12	36.916666666666664	75.41666666666667
1	950000	1000000	15	28.6	56.333333333333336
1	1000000	1050000	41	34.58536585365854	68.60975609756098
1	1050000	1100000	37	33.5945945945946	63.16216216216216
1	1100000	1150000	46	18.17391304347826	64.65217391304348
1	1150000	1200000	60	26.633333333333333	56.03333333333333
1	1200000	1250000	79	21.974683544303797	52.75949367088607
1	1250000	1300000	64	27.46875	63
1	1300000	1350000	51	25.49019607843137	59.529411764705884
1	1350000	1400000	64	32.71875	70.015625
1	1400000	1450000	38	12.894736842105264	73.34210526315789
1	1450000	1500000	44	21.15909090909091	55.02272727272727
1	1500000	1550000	95	21.810526315789474	53.95789473684211
1	1550000	1600000	50	20.98	57.1
1	1600000	1650000	30	43.56666666666667	58
1	1650000	1700000	57	22.92982456140351	59.31578947368421
1	1700000	1750000	45	38.46666666666667	57.77777777777778
1	1750000	1800000	22	34.18181818181818	54.18181818181818
1	1800000	1850000	31	27.419354838709676	61.87096774193548
1	1850000	1900000	20	31.6	50.5
1	1900000	1950000	21	22.904761904761905	60.095238095238095
1	1950000	2000000	41	19.195121951219512	60.02439024390244
1	2000000	2050000	15	11.533333333333333	55.86666666666667
1	2050000	2100000	31	32.61290322580645	58.12903225806452
1	2100000	2150000	40	30.225	53.5
1	2150000	2200000	31	17.387096774193548	53.935483870967744
1	2200000	2250000	40	23.45	51.575
1	2250000	2300000	83	34.66265060240964	53.34939759036145
1	2300000	2350000	56	22.089285714285715	51.214285714285715
1	2350000	2400000	58	15.793103448275861	48.44827586206897
1	2400000	2450000	41	13	55.80487804878049
1	2450000	2500000	45	25.955555555555556	60.977777777777774
1	2500000	2550000	46	17.891304347826086	56.28260869565217
1	2550000	2600000	73	28.698630136986303	55.61643835616438
1	2600000	2650000	84	16.511904761904763	44.595238095238095
1	2650000	2700000	15	16.866666666666667	62.53333333333333
1	2700000	2750000	13	12	60.84615384615385
1	2750000	2800000	25	8.92	39.12
1	2800000	2850000	16	10.1875	43.8125
1	2850000	2900000	28	6.321428571428571	55.392857142857146
1	2900000	2950000	6	13.5	51
1	2950000	3000000	9	8.11111111111111	46
1	3000000	3050000	12	7	60
1	3050000	3100000	10	5.7	53.5
1	3100000	3150000	10	10.2	43
1	3150000	3200000	13	9.692307692307692	65.92307692307692
1	3200000	3250000	5	11.6	84.6
1	3250000	3300000	8	11.375	62
1	3300000	3350000	9	34	64.33333333333333
1	3350000	3400000	11	7.181818181818182	49.72727272727273
1	3400000	3450000	1	14	88
1	3450000	3500000	6	10.833333333333334	54.5
1	3500000	3550000	2	12	43
1	3550000	3600000	2	6	46
1	3600000	3650000	7	8.285714285714286	45
1	3650000	3700000	9	10.777777777777779	61.333333333333336
1	3700000	3750000	1	13	84
1	3750000	3800000	12	8.833333333333334	50.166666666666664
1	3800000	3850000	17	23	47.76470588235294
1	3850000	3900000	10	9.3	72.3
1	3900000	3950000	1	2	52
1	3950000	4000000	17	10.294117647058824	71.23529411764706
1	4000000	4050000	4	21.5	69.25
1	4050000	4100000	13	7.076923076923077	53.69230769230769
1	4100000	4150000	10	8.4	55.2
1	4150000	4200000	12	10.166666666666666	54.583333333333336
1	4200000	4250000	4	4.75	53.75
1	4250000	4300000	10	9.1	77.7
1	4300000	4350000	16	27.75	55.0625
1	4350000	4400000	5	5	54.4
1	4400000	4450000	6	26.5	46.833333333333336
1	4450000	4500000	5	8.6	53.4
1	4500000	4550000	9	6.444444444444445	64
1	4550000	4600000	10	8.2	61.8
1	4600000	4650000	7	11.142857142857142	37.142857142857146
1	4650000	4700000	17	6.9411764705882355	42.294117647058826
1	4700000	4750000	9	19	34.666666666666664
1	4750000	4800000	7	5.285714285714286	67
1	4800000	4850000	11	10	59
1	4850000	4900000	7	5.142857142857143	62.142857142857146
1	4900000	4950000	7	6	74.14285714285714
1	4950000	5000000	4	12	76
1	5000000	5050000	7	11.571428571428571	76.14285714285714
1	5050000	5100000	8	10.125	65
1	5100000	5150000	4	13.5	73.75
1	5150000	5200000	4	10.5	57.25
1	5200000	5250000	7	6.857142857142857	61.285714285714285
1	5250000	5300000	7	9.428571428571429	65
1	5300000	5350000	11	8.363636363636363	75.81818181818181
1	5350000	5400000	9	2.4444444444444446	61.22222222222222
1	5400000	5450000	16	7.5	59.8125
1	5450000	5500000	7	12	48
1	5500000	5550000	9	19.555555555555557	67.55555555555556
1	5550000	5600000	16	7	65.5625
1	5600000	5650000	4	7.5	67
1	5650000	5700000	5	13.4	78.4
1	5700000	5750000	5	9.4	61.6
1	5750000	5800000	NA	NA	NA
1	5800000	5850000	3	17.666666666666668	62.666666666666664
1	5850000	5900000	5	13.2	64.6
1	5900000	5950000	6	15.5	65
1	5950000	6000000	7	18.285714285714285	72.71428571428571
1	6000000	6050000	5	10.4	83
1	6050000	6100000	6	5.333333333333333	60.5
1	6100000	6150000	14	10	70.42857142857143
1	6150000	6200000	14	12.214285714285714	65.28571428571429
1	6200000	6250000	5	12.6	70.4
1	6250000	6300000	7	8.714285714285714	68.42857142857143
1	6300000	6350000	5	9.8	71.8
1	6350000	6400000	7	6.571428571428571	60.857142857142854
1	6400000	6450000	3	6.666666666666667	84.66666666666667
1	6450000	6500000	2	36.5	62.5
1	6500000	6550000	9	12	73.33333333333333
1	6550000	6600000	11	8.727272727272727	79.0909090909091
1	6600000	6650000	11	6.909090909090909	59
1	6650000	6700000	8	7.875	62.125
1	6700000	6750000	7	9.857142857142858	45.285714285714285
1	6750000	6800000	9	9.666666666666666	65
1	6800000	6850000	5	4.8	44.8
1	6850000	6900000	5	11.2	59.6
1	6900000	6950000	NA	NA	NA
1	6950000	7000000	4	8.75	56
1	7000000	7050000	5	5.8	49.8
1	7050000	7100000	4	7	67
1	7100000	7150000	9	12.555555555555555	64.66666666666667
1	7150000	7200000	6	12.5	69.66666666666667
1	7200000	7250000	9	10.222222222222221	51.77777777777778
1	7250000	7300000	18	15.777777777777779	49.611111111111114
1	7300000	7350000	22	8	41.04545454545455
1	7350000	7400000	9	10.11111111111111	55.22222222222222
1	7400000	7450000	7	3.7142857142857144	49
1	7450000	7500000	6	10	62.166666666666664
1	7500000	7550000	2	14.5	41.5
1	7550000	7600000	4	5	59.75
1	7600000	7650000	5	9	68.6
1	7650000	7700000	4	7	44
1	7700000	7750000	6	5	54.666666666666664
1	7750000	7800000	10	10	56.8
1	7800000	7850000	9	8.222222222222221	59.55555555555556
1	7850000	7900000	7	10.285714285714286	57.285714285714285
1	7900000	7950000	4	8	47.75
1	7950000	8000000	3	7.333333333333333	57.333333333333336
1	8000000	8050000	7	11.285714285714286	54.57142857142857
1	8050000	8100000	4	7.25	63.5
1	8100000	8150000	5	25.6	65
1	8150000	8200000	10	30.6	54.9
1	8200000	8250000	12	14.5	56.5
1	8250000	8300000	7	9.285714285714286	54.714285714285715
1	8300000	8350000	5	6.6	54.2
1	8350000	8400000	2	7.5	61.5
1	8400000	8450000	3	18.666666666666668	69
1	8450000	8500000	4	4.75	74.25
1	8500000	8550000	6	10.833333333333334	55
1	8550000	8600000	5	5	55.6
1	8600000	8650000	6	17.666666666666668	63.833333333333336
1	8650000	8700000	2	14.5	36
1	8700000	8750000	2	13	64.5
1	8750000	8800000	11	9.181818181818182	55.09090909090909
1	8800000	8850000	6	4.666666666666667	56.166666666666664
1	8850000	8900000	11	9	44.72727272727273
1	8900000	8950000	10	14.5	54.2
1	8950000	9000000	6	13.666666666666666	68.33333333333333
1	9000000	9050000	3	11.666666666666666	70
1	9050000	9100000	5	10.6	70
1	9100000	9150000	7	28.285714285714285	58.42857142857143
1	9150000	9200000	6	9.5	51.666666666666664
1	9200000	9250000	1	15	69
1	9250000	9300000	5	10.8	70.6
1	9300000	9350000	13	12.307692307692308	69.6923076923077
1	9350000	9400000	NA	NA	NA
1	9400000	9450000	10	10.6	59.1
1	9450000	9500000	4	16.5	64.25
1	9500000	9550000	7	6.142857142857143	85
1	9550000	9600000	4	6.75	64.75
1	9600000	9650000	1	15	59
1	9650000	9700000	10	6.7	51
1	9700000	9750000	4	5.75	57.75
1	9750000	9800000	3	12.333333333333334	63.333333333333336
1	9800000	9850000	8	8.75	50.5
1	9850000	9900000	2	13	47.5
1	9900000	9950000	6	16.666666666666668	54
1	9950000	10000000	8	7.5	60.125
1	10000000	10050000	4	6.25	61.25
1	10050000	10100000	3	12.666666666666666	90.33333333333333
1	10100000	10150000	3	9.333333333333334	94.33333333333333
1	10150000	10200000	5	13.4	48.8
1	10200000	10250000	6	11.166666666666666	65
1	10250000	10300000	9	10.444444444444445	72.88888888888889
1	10300000	10350000	19	28.842105263157894	46.526315789473685
1	10350000	10400000	1	2	48
1	10400000	10450000	6	14	58.666666666666664
1	10450000	10500000	6	10	68.66666666666667
1	10500000	10550000	9	6.666666666666667	60.111111111111114
1	10550000	10600000	7	8.142857142857142	66.28571428571429
1	10600000	10650000	5	5.4	74
1	10650000	10700000	17	7.9411764705882355	46.11764705882353
1	10700000	10750000	10	3.2	52.3
1	10750000	10800000	6	6.333333333333333	61
1	10800000	10850000	4	15.5	62
1	10850000	10900000	8	11.125	56.25
1	10900000	10950000	3	10.333333333333334	80.33333333333333
1	10950000	11000000	11	11.545454545454545	66.18181818181819
1	11000000	11050000	6	8.166666666666666	67
1	11050000	11100000	4	10.5	47
1	11100000	11150000	5	27.4	62.4
1	11150000	11200000	2	9.5	62
1	11200000	11250000	3	9.333333333333334	63.333333333333336
1	11250000	11300000	4	12	51.75
1	11300000	11350000	1	12	61
1	11350000	11400000	8	6.375	58.375
1	11400000	11450000	4	10.5	75
1	11450000	11500000	6	15.833333333333334	87.83333333333333
1	11500000	11550000	3	11.666666666666666	73.33333333333333
1	11550000	11600000	10	4.2	69.2
1	11600000	11650000	12	6.916666666666667	58.75
1	11650000	11700000	6	10	69
1	11700000	11750000	3	10.333333333333334	67
1	11750000	11800000	2	6	37.5
1	11800000	11850000	7	7.571428571428571	64.42857142857143
1	11850000	11900000	4	6	49
