set map mb cm regFn regDr
F1 1 0.049162 0 0.112806139855951 2.49
F1 1 0.0915 0 0.159465906821452 2.7
F1 1 0.131725 0 0.216098183987136 2.88
F1 1 0.135465 0 0.221986666345696 2.89
F1 1 0.14654 0 0.240054336244284 2.93
F1 1 0.229389 0 0.405863503083336 3.25
F1 1 0.271601 0 0.511769158612107 3.4
F1 1 0.271642 0 0.511879035900229 3.4
F1 1 0.301441 0 0.595240223062374 3.48
F1 1 0.319041 7.294 0.647700398067302 3.53
F1 1 0.379383 0 0.844972173650702 3.67
F1 1 0.44133 0 1.07392159802076 3.78
F1 1 0.447633 0 1.09878269775625 3.79
F1 1 0.473482 0 1.20639323657655 3.84
F1 1 0.559228 2.74 1.62310559942876 3.89
F1 1 0.594709 1.377 1.81939784599017 3.88
F1 1 0.681414 1.831 2.34740941532254 3.93
F1 1 0.682103 1.831 2.35184490423333 3.93
F1 1 0.730616 2.286 2.67211404338679 3.96
F1 1 0.784883 2.74 3.04624271463921 4.01
F1 1 0.833995 3.195 3.39562723549052 4.1
F1 1 0.968245 4.108 4.37531527803926 4.4
F1 1 0.968326 4.108 4.37590780467257 4.4
F1 1 0.976097 4.108 4.43456866619203 4.42
F1 1 0.988213 4.108 4.53269150786231 4.44
F1 1 1.05309 4.563 5.14500620443846 4.6
F1 1 1.06417 4.563 5.25525393851143 4.62
F1 1 1.104301 5.017 5.63955375744534 4.69
F1 1 1.141803 5.472 5.94616602059155 4.74
F1 1 1.159392 6.385 6.07574300349083 4.76
F1 1 1.169673 6.385 6.15431414008001 4.77
F1 1 1.184479 6.385 6.26965455090809 4.78
F1 1 1.241062 6.84 6.70336396108465 4.84
F1 1 1.265573 6.84 6.86992159160104 4.85
F1 1 1.27066 7.294 6.9016598036149 4.86
F1 1 1.274004 7.294 6.92203212800328 4.86
F1 1 1.300499 7.749 7.07494320027323 4.87
F1 1 1.311975 7.749 7.13671391319172 4.88
F1 1 1.318529 7.749 7.17084753933961 4.88
F1 1 1.343561 7.749 7.29398743943542 4.89
F1 1 1.394009 8.203 7.5112509124732 4.9
F1 1 1.415665 7.749 7.593739520308 4.9
F1 1 1.438452 7.749 7.67474827129749 4.9
F1 1 1.464813 7.749 7.76220525949997 4.89
F1 1 1.488205 7.749 7.83524667233168 4.88
F1 1 1.502104 7.749 7.87702555223607 4.87
F1 1 1.504228 7.749 7.88301185164308 4.87
F1 1 1.507099 7.749 7.89011734352729 4.87
F1 1 1.50833 7.749 7.89282989205774 4.87
F1 1 1.514876 7.749 7.90411314771893 4.86
F1 1 1.515003 7.749 7.90428257152821 4.86
F1 1 1.608264 7.749 7.88461903641447 4.76
F1 1 1.609027 7.749 7.88605606005146 4.76
F1 1 1.669206 7.749 7.96428218673789 4.67
F1 1 1.710493 7.749 8.00380380523776 4.58
F1 1 1.743382 8.203 8.04691902920485 4.51
F1 1 1.745328 7.749 8.05010617447494 4.5
F1 1 1.785012 8.203 8.13806516214092 4.4
F1 1 1.812672 8.203 8.22700748008046 4.32
F1 1 1.826163 8.203 8.27661140602616 4.28
F1 1 1.838356 8.203 8.32440654512567 4.25
F1 1 1.840335 8.203 8.33240403690131 4.24
F1 1 1.874396 8.658 8.47861995826969 4.15
F1 1 1.895881 8.658 8.57693505725751 4.09
F1 1 1.913411 8.658 8.65900432312636 4.04
F1 1 1.927271 8.203 8.72431758675975 4
F1 1 1.929932 8.658 8.73685120439166 3.99
F1 1 1.972278 9.112 8.93237681502024 3.88
F1 1 2.001365 9.112 9.05736133986853 3.79
F1 1 2.007073 9.112 9.08161789165749 3.77
